Broad subject;Category / Contentious sector;(Sub-Category);Category Conceptual Definition;Sub-Category Conceptual Definition;Key NLP words targets;Key interests / key lobbies;;;;
Climate;INDUSTRY AND MANUFACTURING;Manufacturing of low-carbon technologies;A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Production of specific technologies including renewable energy equipment, low-carbon transport vehicles, and other innovations that contribute substantially to the stabilization of greenhouse gas concentrations in the atmosphere,,.;"""low-carbon technology manufacturing"", ""renewable energy equipment"", ""mitigation equipment"", ""energy-saving appliances"", ""clean-tech production"", ""photovoltaic module assembly"", ""wind turbine manufacturing"", ""EU Ecolabel"", ""Ecodesign Directive"", ""Energy Star"", ""IRENA"", ""SolarPower Europe"", ""technological lock-in"", ""subsidy dependence"", ""industrial competitiveness"", ""carbon leakage"", ""green industrial policy""";Heavy industry manufacturers, engineering firms, renewable energy developers, and industrial technology providers,.;;;;
Climate;INDUSTRY AND MANUFACTURING;Energy efficiency in industrial processes;A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Implementation of integrated measures to reduce the energy intensity of industrial operations, including heat recovery and optimized production lines, to achieve deep emission reductions,,.;"""industrial energy performance"", ""heat recovery systems"", ""energy intensity reduction"", ""process optimization"", ""energy audits"", ""industrial thermal regulation"", ""high-efficiency motors"", ""ISO 50001"", ""ESCO"", ""IEA Industrial Energy"", ""Energy Efficiency First"", ""European Energy Efficiency Platform"", ""rebound effect"", ""abatement costs"", ""stranded industrial assets"", ""implementation gap"", ""investment barriers""";Steel, cement, and chemical corporations, energy service companies (ESCOs), and material science researchers,. ;;;;
Climate;INDUSTRY AND MANUFACTURING;Circular material flows and material efficiency;A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Coordinated action throughout value chains to promote material efficiency, recycling, and the reuse of secondary raw materials to reduce reliance on virgin resource extraction and industrial waste,,,. ;"""circular material flows"", ""secondary raw materials"", ""design for disassembly"", ""material substitution"", ""by-product utilization"", ""remanufacturing processes"", ""industrial symbiosis"", ""Circular Economy Action Plan"", ""Waste Framework Directive"", ""Ellen MacArthur Foundation"", ""REACH regulation"", ""Cradle to Cradle"", ""downcycling"", ""recycling toxicity"", ""planned obsolescence"", ""waste trade"", ""recycled content claims""";Waste management firms, recycling companies, material suppliers, and circular economy advocacy groups,,.;;;;
Climate;INDUSTRY AND MANUFACTURING;Carbon Capture, Utilization, and Storage (CCU/CCS);A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Deployment of technologies to capture CO2 from industrial sources for either utilization in products or permanent geological storage to mitigate hard-to-abate industrial emissions,,,. ;"""carbon capture storage"", ""geological sequestration"", ""direct air capture"", ""BECCS"", ""CCU technologies"", ""post-combustion capture"", ""underground storage integrity"", ""Global CCS Institute"", ""London Protocol"", ""CCS Directive"", ""Northern Lights Project"", ""IEA GHG"", ""unabated fossil fuels"", ""storage leakage risk"", ""moral hazard"", ""high operational cost"", ""CCS greenwashing""";Oil and gas companies, heavy emission industries (cement, chemicals), and CCS infrastructure developers,. ;;;;
Climate;INDUSTRY AND MANUFACTURING;Fuel switching and industrial electrification ;A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Transitioning industrial energy demand from fossil fuels to low-emission electricity, hydrogen, or sustainable bioenergy for high-heat processes,,. ;"""industrial electrification"", ""low-emission hydrogen"", ""green ammonia"", ""industrial fuel switching"", ""electric arc furnaces"", ""synthetic kerosene"", ""industrial gas-to-power"", ""Hydrogen Council"", ""Power-to-X"", ""IPHE"", ""Green Hydrogen Catapult"", ""Clean Hydrogen Partnership"", ""hydrogen leakage"", ""grid capacity"", ""energy density"", ""hydrogen greenwashing"", ""electrification costs""";Industrial energy consumers, utility providers, hydrogen producers, and biofuel suppliers.;;;;
Climate;INDUSTRY AND MANUFACTURING;Sustainable mining for transition materials;A fundamental pillar of SDG 9 (Sustainable industrialization) and a sector targeted for deep emission reductions by IPCC AR6 (C.3.3),. The EU Taxonomy defines precise technical screening criteria for this sector, particularly for the manufacturing of low-carbon technologies.;Extraction of critical minerals required for low-carbon technologies while managing significant impacts on local ecosystems, land degradation, and biodiversity loss;"""critical minerals extraction"", ""lithium extraction"", ""rare earth elements"", ""tailings management"", ""mineral waste prevention"", ""deep-sea mining"", ""resource depletion"", ""Critical Raw Materials Act"", ""ICMM"", ""Responsible Mining Foundation"", ""OECD Mineral Guidelines"", ""Deep Sea Conservation Coalition"", ""habitat fragmentation"", ""resource curse"", ""indigenous land rights"", ""toxic tailings spill"", ""transition mineral rush""";Mining corporations, battery manufacturers, indigenous communities, and environmental NGOs;;;;
Climate;TRANSPORT AND MOBILITY;Road transport electrification and battery technology;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Transitioning light and heavy-duty road vehicles to electric propulsion powered by low-GHG emissions electricity and developing advanced battery life-cycles;"""electric vehicles"", ""lithium-ion batteries"", ""charging infrastructure"", ""zero-emission vehicles"", ""vehicle-to-grid"", ""battery energy density"", ""liquid electrolyte"", ""IEA-STEPS"", ""Euro 7 standard"", ""International Energy Agency"", ""European Battery Alliance"", ""Global Battery Alliance"", ""range anxiety"", ""critical minerals"", ""battery resource footprint"", ""grid stability"", ""lithium scarcity""";Automotive industry, battery manufacturers, utility companies, and charging infrastructure providers;;;;
Climate;TRANSPORT AND MOBILITY;Sustainable aviation and maritime fuels;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Development and use of low-emission hydrogen, ammonia, and synthetic fuels to mitigate CO2 emissions in hard-to-abate long-distance transport sectors;"""sustainable aviation fuels"", ""maritime decarbonization"", ""green ammonia"", ""synthetic kerosene"", ""low-emission hydrogen"", ""alternative energy carriers"", ""e-fuels"", ""CORSIA"", ""International Maritime Organization"", ""ICAO"", ""Clean Skies for Tomorrow"", ""Getting to Zero Coalition"", ""hard-to-abate residual emissions"", ""high operational cost"", ""feedstock availability"", ""technological maturity"", ""fuel-vs-food trade-off""";Airline companies, maritime shipping lines, fuel refineries, and alternative fuel startups;;;;
Climate;TRANSPORT AND MOBILITY;Public transit and active mobility systems;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Provision of accessible public transport and active transport infrastructure (walking and cycling) to provide low-emission alternatives to private vehicle use;"""active mobility"", ""public transport expansion"", ""bus rapid transit"", ""cycling infrastructure"", ""walkable cities"", ""transit-oriented development"", ""shared mobility"", ""SDG 11.2"", ""C40 Cities"", ""International Association of Public Transport"", ""Walk21"", ""Institute for Transportation and Development Policy"", ""car-free zones"", ""infrastructure investment gap"", ""transit equity"", ""urban accessibility"", ""modal shift barriers""";Municipal governments, urban planners, public transport authorities, and cycling advocacy groups;;;;
Climate;TRANSPORT AND MOBILITY;Transport infrastructure and habitat fragmentation;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Expansion of road, rail, and dam networks that facilitate economic development but cause high environmental costs including deforestation and habitat fragmentation;"""habitat fragmentation"", ""linear infrastructure"", ""wildlife corridors"", ""ecosystem connectivity"", ""paved road length"", ""barrier effects"", ""infrastructure expansion"", ""Convention on Migratory Species"", ""IUCN"", ""Global Road Map"", ""Infrastructures and Ecology Network Europe"", ""Trans-European Transport Network"", ""land grabbing"", ""population displacement"", ""environmental social costs"", ""unprecedented expansion"", ""illegal logging access""";Infrastructure developers, local communities, conservation NGOs, and land-use planners;;;;
